id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,fplid,xG90,npxG90,xA90
6144,Sébastien Haller,16,933,3,2.5546681806445117,0,1.1348678134381769,25,10,0,0,F S,West Ham,3,2.5546681806445117,3.66033024340868,0.8529489319771528,441,0.2464310142100815,0.2464310142100815,0.10947277943133539
7712,Billy Sharp,16,723,3,2.983076898381114,0,0.5832782126963139,9,4,1,0,F S,Sheffield United,1,1.4607392232865095,2.650699468329549,0.6648953501135111,343,0.37133737324246235,0.18183475808545763,0.07260724639373202
7723,John McGinn,35,3150,3,2.1008014818653464,5,3.282321690581739,42,39,10,0,M,Aston Villa,3,2.1008014818653464,14.124279318377376,9.346015194430947,38,0.060022899481867044,0.060022899481867044,0.09378061973090683
8239,Takumi Minamino,18,941,3,2.557263044640422,0,0.7625150121748447,18,4,1,0,F M S,"Liverpool,Southampton",3,2.557263044640422,5.954795576632023,2.767797449603677,258,0.24458413816964714,0.24458413816964714,0.0729291722590181
8291,Daniel Podence,24,1718,3,2.744377875700593,2,1.8394327834248545,32,21,3,0,F M S,Wolverhampton Wanderers,3,2.744377875700593,6.725102685391903,2.910881344228983,469,0.14376834040340708,0.14376834040340708,0.09636143801410763
9290,Mbaye Diagne,15,1204,3,6.247825153172016,2,0.9861007407307624,25,10,2,0,F S,West Bromwich Albion,3,6.247825153172016,8.729950740933418,1.7730101551860569,648,0.46703011942315736,0.46703011942315736,0.07371184939017326
343,Pierre-Emile Højbjerg,36,3240,2,1.1379272593185306,4,1.7558950493112206,14,16,8,0,M,Tottenham,2,1.1379272593185306,15.818066192790866,14.292636910453439,396,0.03160909053662585,0.03160909053662585,0.04877486248086724
528,Angelo Ogbonna,26,2313,2,1.1458240104839206,0,0.4284707475453615,11,4,4,0,D,West Ham,2,1.1458240104839206,3.8707449696958074,3.64825002476573,432,0.04458459184762337,0.04458459184762337,0.01667201352316582
619,Sergio Agüero,11,533,2,3.0022155456244946,1,1.3156597875058649,15,7,0,0,F M S,Manchester City,1,1.4798778621479869,3.3636604510247707,1.1454504542052746,268,0.5069407112686763,0.2498855677172961,0.22215643691468637
725,Ola Aina,31,2683,2,0.8479764661751688,1,1.5527279656380415,14,15,3,0,D M,Fulham,2,0.8479764661751688,6.773145352024585,6.1204672530293465,562,0.02844498022950622,0.02844498022950622,0.052085544877906724
